Date,2020-12-03,
Time,08:50:31,

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,32.086000,32.003000,32.251000,31.941000,33.820000,33.654000,30.930000,30.826000,30.393000,27.792000,34.460000,34.769000,35.285000,37.267000,38.155000,32.251000,34.666000,34.336000,33.654000,0.000000,0.000000,0.000000,0.000000,0.000000,
B,31.528000,31.404000,31.962000,31.838000,33.613000,33.510000,30.764000,30.207000,30.413000,34.604000,33.365000,34.914000,35.327000,36.730000,38.444000,32.354000,34.253000,34.088000,33.448000,0.000000,0.000000,0.000000,0.000000,0.000000,
C,31.446000,31.631000,32.065000,31.384000,33.469000,33.469000,30.888000,30.682000,30.868000,35.244000,34.398000,35.616000,35.368000,37.597000,38.795000,32.746000,34.749000,34.521000,33.118000,0.000000,0.000000,0.000000,0.000000,0.000000,
D,32.044000,31.363000,32.230000,31.962000,33.510000,33.056000,30.847000,31.260000,31.652000,35.471000,33.180000,35.616000,35.182000,38.712000,38.691000,32.870000,34.872000,34.728000,33.654000,0.000000,0.000000,0.000000,0.000000,0.000000,
E,31.776000,0.000000,31.776000,0.000000,33.242000,0.000000,30.847000,30.434000,30.558000,35.327000,0.000000,35.120000,0.000000,38.134000,0.000000,32.168000,34.666000,34.212000,32.829000,0.000000,0.000000,0.000000,0.000000,0.000000,
F,31.714000,0.000000,31.528000,0.000000,33.056000,0.000000,31.342000,30.310000,30.744000,34.707000,0.000000,34.769000,0.000000,38.237000,0.000000,32.189000,34.687000,34.480000,33.613000,0.000000,0.000000,0.000000,0.000000,0.000000,
G,31.095000,0.000000,31.157000,0.000000,32.849000,0.000000,30.310000,29.918000,30.124000,34.625000,0.000000,34.604000,0.000000,37.639000,0.000000,33.861000,34.336000,34.129000,33.489000,0.000000,0.000000,0.000000,0.000000,0.000000,
H,30.950000,0.000000,30.021000,0.000000,32.127000,0.000000,29.257000,27.730000,17.057000,33.820000,0.000000,33.056000,0.000000,37.246000,0.000000,33.778000,33.696000,33.138000,32.808000,0.000000,0.000000,0.000000,0.000000,0.000000,
I,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
J,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
K,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
L,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
M,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
N,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
O,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
P,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
